CHROM	BIN_START	N_SNPS	TajimaD
NC_024345.1	0	336	-1.82273
NC_024345.1	75000	510	-2.45255
NC_024345.1	150000	385	-2.15444
NC_024345.1	225000	148	-2.20091
NC_024345.1	300000	99	-2.57669
NC_024345.1	375000	94	-2.02745
NC_024345.1	450000	255	-2.10713
NC_024345.1	525000	208	-2.45159
NC_024345.1	600000	476	-1.29019
NC_024345.1	675000	565	-0.587667
NC_024345.1	750000	275	-1.90745
NC_024345.1	825000	586	-1.07505
NC_024345.1	900000	513	0.177489
NC_024345.1	975000	685	0.130361
NC_024345.1	1050000	728	-0.920909
NC_024345.1	1125000	686	0.6989
NC_024345.1	1200000	465	-0.90858
NC_024345.1	1275000	402	-1.80025
NC_024345.1	1350000	381	-0.429833
NC_024345.1	1425000	563	-0.664151
NC_024345.1	1500000	385	1.08856
NC_024345.1	1575000	302	-1.1274
NC_024345.1	1650000	577	-0.490176
NC_024345.1	1725000	607	-0.308963
NC_024345.1	1800000	844	0.456707
NC_024345.1	1875000	548	-1.25813
NC_024345.1	1950000	513	-0.996556
NC_024345.1	2025000	620	0.369192
NC_024345.1	2100000	497	-0.758913
NC_024345.1	2175000	382	-1.90723
NC_024345.1	2250000	526	-1.18347
NC_024345.1	2325000	484	-0.588562
NC_024345.1	2400000	782	-0.204007
NC_024345.1	2475000	512	-0.831876
NC_024345.1	2550000	266	-2.40963
NC_024345.1	2625000	447	0.272727
NC_024345.1	2700000	436	-0.799854
NC_024345.1	2775000	534	-0.0665701
NC_024345.1	2850000	752	0.367679
NC_024345.1	2925000	661	0.370845
NC_024345.1	3000000	550	1.57674
NC_024345.1	3075000	777	0.517019
NC_024345.1	3150000	751	0.290298
NC_024345.1	3225000	948	0.392111
NC_024345.1	3300000	541	-0.356946
NC_024345.1	3375000	425	-1.60634
NC_024345.1	3450000	477	-1.35093
NC_024345.1	3525000	375	-2.51582
NC_024345.1	3600000	506	-0.743361
NC_024345.1	3675000	300	-0.378106
NC_024345.1	3750000	397	-2.08954
NC_024345.1	3825000	373	-1.34958
NC_024345.1	3900000	709	0.131869
NC_024345.1	3975000	694	0.474383
NC_024345.1	4050000	758	0.266544
NC_024345.1	4125000	870	-0.0516167
NC_024345.1	4200000	610	0.142324
NC_024345.1	4275000	661	0.22468
NC_024345.1	4350000	682	0.0607974
NC_024345.1	4425000	683	-0.523978
NC_024345.1	4500000	550	-0.710435
NC_024345.1	4575000	512	0.531966
NC_024345.1	4650000	240	-0.554266
NC_024345.1	4725000	236	-0.990932
NC_024345.1	4800000	495	-0.473162
NC_024345.1	4875000	415	-0.721237
NC_024345.1	4950000	431	-0.881549
NC_024345.1	5025000	602	-0.80717
NC_024345.1	5100000	631	-0.0558251
NC_024345.1	5175000	693	1.09962
NC_024345.1	5250000	759	0.923069
NC_024345.1	5325000	871	0.573693
NC_024345.1	5400000	585	0.553835
NC_024345.1	5475000	505	-0.121877
NC_024345.1	5550000	527	-0.444924
NC_024345.1	5625000	698	0.220502
NC_024345.1	5700000	521	-0.344742
NC_024345.1	5775000	605	0.261546
NC_024345.1	5850000	429	-1.07815
NC_024345.1	5925000	510	-0.426319
NC_024345.1	6000000	739	-0.00236232
NC_024345.1	6075000	815	-0.500744
NC_024345.1	6150000	712	-0.221409
NC_024345.1	6225000	789	-0.111994
NC_024345.1	6300000	450	0.495039
NC_024345.1	6375000	559	0.414222
NC_024345.1	6450000	552	-0.65116
NC_024345.1	6525000	688	-0.648392
NC_024345.1	6600000	486	-1.19363
NC_024345.1	6675000	233	-0.325477
NC_024345.1	6750000	594	2.05012
NC_024345.1	6825000	701	0.954135
NC_024345.1	6900000	678	1.07207
NC_024345.1	6975000	477	1.7924
NC_024345.1	7050000	508	0.662631
NC_024345.1	7125000	469	0.838908
NC_024345.1	7200000	558	0.649494
NC_024345.1	7275000	669	0.0507726
NC_024345.1	7350000	666	-1.53137
NC_024345.1	7425000	741	0.0707429
NC_024345.1	7500000	407	0.453787
NC_024345.1	7575000	257	0.567029
NC_024345.1	7650000	379	1.4852
NC_024345.1	7725000	495	1.78834
NC_024345.1	7800000	467	1.76193
NC_024345.1	7875000	302	1.49505
NC_024345.1	7950000	509	1.68119
NC_024345.1	8025000	549	1.33612
NC_024345.1	8100000	392	1.86327
NC_024345.1	8175000	361	0.828097
NC_024345.1	8250000	380	1.23079
NC_024345.1	8325000	353	-0.267736
NC_024345.1	8400000	477	0.400366
NC_024345.1	8475000	618	0.754901
NC_024345.1	8550000	521	1.0314
NC_024345.1	8625000	319	0.454396
NC_024345.1	8700000	481	0.60571
NC_024345.1	8775000	610	0.828701
NC_024345.1	8850000	718	0.593854
NC_024345.1	8925000	558	0.65647
NC_024345.1	9000000	637	0.675686
NC_024345.1	9075000	325	0.294033
NC_024345.1	9150000	349	0.969558
NC_024345.1	9225000	742	1.49447
NC_024345.1	9300000	385	0.901484
NC_024345.1	9375000	439	0.716525
NC_024345.1	9450000	289	-0.165657
NC_024345.1	9525000	276	0.623359
NC_024345.1	9600000	354	0.79297
NC_024345.1	9675000	582	0.527904
NC_024345.1	9750000	489	0.0684264
NC_024345.1	9825000	407	0.343775
NC_024345.1	9900000	330	0.134913
NC_024345.1	9975000	144	-0.150931
