CHROM	BIN_START	N_SNPS	TajimaD
NC_024345.1	0	260	-1.83452
NC_024345.1	75000	437	-2.56798
NC_024345.1	150000	340	-2.2258
NC_024345.1	225000	99	-2.52394
NC_024345.1	300000	95	-2.12434
NC_024345.1	375000	94	-1.82731
NC_024345.1	450000	221	-1.6219
NC_024345.1	525000	480	-1.5058
NC_024345.1	600000	685	-1.11688
NC_024345.1	675000	727	0.013102
NC_024345.1	750000	520	-1.25867
NC_024345.1	825000	594	-0.864666
NC_024345.1	900000	536	-0.719961
NC_024345.1	975000	726	-0.526304
NC_024345.1	1050000	876	-1.27952
NC_024345.1	1125000	773	-0.0738067
NC_024345.1	1200000	660	-0.614745
NC_024345.1	1275000	888	-0.935819
NC_024345.1	1350000	614	-1.9261
NC_024345.1	1425000	772	-0.170879
NC_024345.1	1500000	432	0.871867
NC_024345.1	1575000	409	-0.814148
NC_024345.1	1650000	577	-0.00554769
NC_024345.1	1725000	565	-1.18882
NC_024345.1	1800000	662	0.761917
NC_024345.1	1875000	599	-0.34851
NC_024345.1	1950000	664	-0.860054
NC_024345.1	2025000	735	0.373153
NC_024345.1	2100000	472	-1.00559
NC_024345.1	2175000	590	-1.22215
NC_024345.1	2250000	702	-0.771446
NC_024345.1	2325000	736	-0.558294
NC_024345.1	2400000	921	-0.220301
NC_024345.1	2475000	734	-0.630621
NC_024345.1	2550000	561	-1.16813
NC_024345.1	2625000	666	0.0120812
NC_024345.1	2700000	744	-0.579552
NC_024345.1	2775000	627	0.0943718
NC_024345.1	2850000	958	0.651971
NC_024345.1	2925000	905	0.0226743
NC_024345.1	3000000	858	0.676583
NC_024345.1	3075000	1001	0.883521
NC_024345.1	3150000	739	-0.410616
NC_024345.1	3225000	1211	0.237597
NC_024345.1	3300000	696	0.340564
NC_024345.1	3375000	493	0.212278
NC_024345.1	3450000	785	-0.522237
NC_024345.1	3525000	675	-0.642495
NC_024345.1	3600000	1108	-0.487071
NC_024345.1	3675000	669	-0.436312
NC_024345.1	3750000	910	-0.715368
NC_024345.1	3825000	744	-1.22454
NC_024345.1	3900000	963	0.408113
NC_024345.1	3975000	916	0.319231
NC_024345.1	4050000	907	0.254461
NC_024345.1	4125000	1003	0.758169
NC_024345.1	4200000	792	0.568853
NC_024345.1	4275000	700	0.68441
NC_024345.1	4350000	826	-0.405422
NC_024345.1	4425000	736	-0.391044
NC_024345.1	4500000	664	-0.37374
NC_024345.1	4575000	698	0.00794755
NC_024345.1	4650000	333	-0.514468
NC_024345.1	4725000	356	-0.761029
NC_024345.1	4800000	626	0.0989565
NC_024345.1	4875000	584	-0.28766
NC_024345.1	4950000	608	-0.254673
NC_024345.1	5025000	743	-0.207046
NC_024345.1	5100000	708	0.581646
NC_024345.1	5175000	704	1.70605
NC_024345.1	5250000	775	1.56506
NC_024345.1	5325000	882	1.53428
NC_024345.1	5400000	564	1.4601
NC_024345.1	5475000	404	0.851087
NC_024345.1	5550000	470	0.144053
NC_024345.1	5625000	681	0.637
NC_024345.1	5700000	364	1.09998
NC_024345.1	5775000	524	1.03701
NC_024345.1	5850000	542	-0.651153
NC_024345.1	5925000	698	-0.00870024
NC_024345.1	6000000	803	1.08077
NC_024345.1	6075000	813	0.932083
NC_024345.1	6150000	827	0.805551
NC_024345.1	6225000	935	0.967641
NC_024345.1	6300000	493	1.21834
NC_024345.1	6375000	672	0.799637
NC_024345.1	6450000	522	1.01508
NC_024345.1	6525000	721	0.169301
NC_024345.1	6600000	490	-0.604723
NC_024345.1	6675000	209	-0.234107
NC_024345.1	6750000	627	1.87725
NC_024345.1	6825000	780	1.14817
NC_024345.1	6900000	708	1.22563
NC_024345.1	6975000	580	1.58684
NC_024345.1	7050000	696	0.545405
NC_024345.1	7125000	729	0.377597
NC_024345.1	7200000	984	0.425674
NC_024345.1	7275000	943	0.43492
NC_024345.1	7350000	781	0.326759
NC_024345.1	7425000	918	0.955703
NC_024345.1	7500000	638	-0.237344
NC_024345.1	7575000	266	1.11516
NC_024345.1	7650000	379	2.27009
NC_024345.1	7725000	552	2.09279
NC_024345.1	7800000	530	1.72866
NC_024345.1	7875000	404	0.625471
NC_024345.1	7950000	612	0.630246
NC_024345.1	8025000	641	0.776054
NC_024345.1	8100000	438	0.88922
NC_024345.1	8175000	408	0.109228
NC_024345.1	8250000	592	-0.0244187
NC_024345.1	8325000	491	-0.815824
NC_024345.1	8400000	620	-0.434714
NC_024345.1	8475000	594	0.0481217
NC_024345.1	8550000	584	-0.134623
NC_024345.1	8625000	380	-0.15955
NC_024345.1	8700000	644	0.109135
NC_024345.1	8775000	641	0.944323
NC_024345.1	8850000	782	0.723617
NC_024345.1	8925000	636	0.67877
NC_024345.1	9000000	665	0.772929
NC_024345.1	9075000	363	0.675389
NC_024345.1	9150000	486	1.405
NC_024345.1	9225000	827	1.90511
NC_024345.1	9300000	439	1.46372
NC_024345.1	9375000	522	1.25804
NC_024345.1	9450000	323	0.223642
NC_024345.1	9525000	398	0.403366
NC_024345.1	9600000	341	1.22521
NC_024345.1	9675000	583	-0.000193742
NC_024345.1	9750000	616	0.340799
NC_024345.1	9825000	469	0.645973
NC_024345.1	9900000	306	0.682591
NC_024345.1	9975000	131	-0.143172
