CHROM	BIN_START	N_SNPS	TajimaD
NC_024345.1	0	298	-1.46885
NC_024345.1	75000	532	-2.06127
NC_024345.1	150000	387	-2.24207
NC_024345.1	225000	157	-2.08995
NC_024345.1	300000	219	-2.43647
NC_024345.1	375000	191	-2.29798
NC_024345.1	450000	307	-2.25355
NC_024345.1	525000	220	-2.10681
NC_024345.1	600000	394	-1.12204
NC_024345.1	675000	588	-0.596051
NC_024345.1	750000	346	-1.90044
NC_024345.1	825000	307	-1.44053
NC_024345.1	900000	356	0.247904
NC_024345.1	975000	600	0.444073
NC_024345.1	1050000	611	-1.17794
NC_024345.1	1125000	643	1.16584
NC_024345.1	1200000	506	-0.679543
NC_024345.1	1275000	582	-1.69695
NC_024345.1	1350000	632	-0.417326
NC_024345.1	1425000	547	-0.129083
NC_024345.1	1500000	358	1.57005
NC_024345.1	1575000	386	-1.28342
NC_024345.1	1650000	519	-0.397579
NC_024345.1	1725000	486	-0.997985
NC_024345.1	1800000	762	-0.0669821
NC_024345.1	1875000	475	-0.664059
NC_024345.1	1950000	411	-1.39901
NC_024345.1	2025000	514	0.0364955
NC_024345.1	2100000	330	-0.313035
NC_024345.1	2175000	192	-1.48448
NC_024345.1	2250000	243	-0.741137
NC_024345.1	2325000	333	0.170157
NC_024345.1	2400000	432	-0.0907431
NC_024345.1	2475000	289	0.570364
NC_024345.1	2550000	69	-1.84606
NC_024345.1	2625000	333	1.36863
NC_024345.1	2700000	271	0.0846979
NC_024345.1	2775000	392	1.23753
NC_024345.1	2850000	582	0.20997
NC_024345.1	2925000	619	0.158014
NC_024345.1	3000000	544	0.0592551
NC_024345.1	3075000	691	0.50465
NC_024345.1	3150000	596	1.43928
NC_024345.1	3225000	673	1.6528
NC_024345.1	3300000	396	0.518872
NC_024345.1	3375000	291	-0.940894
NC_024345.1	3450000	200	-0.959657
NC_024345.1	3525000	95	-2.27331
NC_024345.1	3600000	317	0.0467912
NC_024345.1	3675000	226	1.19992
NC_024345.1	3750000	122	-1.78387
NC_024345.1	3825000	156	-2.19634
NC_024345.1	3900000	496	-0.483428
NC_024345.1	3975000	487	0.33411
NC_024345.1	4050000	580	-0.107592
NC_024345.1	4125000	677	0.459747
NC_024345.1	4200000	491	0.650789
NC_024345.1	4275000	542	0.671421
NC_024345.1	4350000	449	-0.871871
NC_024345.1	4425000	465	-0.214888
NC_024345.1	4500000	324	-1.94019
NC_024345.1	4575000	399	0.873107
NC_024345.1	4650000	257	-1.38311
NC_024345.1	4725000	278	-1.74174
NC_024345.1	4800000	487	-1.44437
NC_024345.1	4875000	410	-1.6311
NC_024345.1	4950000	426	-1.72777
NC_024345.1	5025000	516	-1.65771
NC_024345.1	5100000	583	-1.09072
NC_024345.1	5175000	637	0.306546
NC_024345.1	5250000	667	0.0645102
NC_024345.1	5325000	807	-0.44503
NC_024345.1	5400000	615	-0.556819
NC_024345.1	5475000	487	-1.03717
NC_024345.1	5550000	545	-1.25292
NC_024345.1	5625000	704	-0.301016
NC_024345.1	5700000	503	-0.782626
NC_024345.1	5775000	622	-0.0424448
NC_024345.1	5850000	512	-1.31496
NC_024345.1	5925000	630	-0.610229
NC_024345.1	6000000	749	0.104481
NC_024345.1	6075000	726	-0.0588433
NC_024345.1	6150000	678	0.0155632
NC_024345.1	6225000	672	-0.140408
NC_024345.1	6300000	439	0.32496
NC_024345.1	6375000	609	-0.19823
NC_024345.1	6450000	531	-0.662912
NC_024345.1	6525000	676	-0.858044
NC_024345.1	6600000	483	-1.2315
NC_024345.1	6675000	214	-1.03604
NC_024345.1	6750000	605	1.37786
NC_024345.1	6825000	706	1.54906
NC_024345.1	6900000	731	1.83101
NC_024345.1	6975000	540	1.29877
NC_024345.1	7050000	616	1.1141
NC_024345.1	7125000	605	0.488686
NC_024345.1	7200000	767	0.438839
NC_024345.1	7275000	725	0.699944
NC_024345.1	7350000	412	-0.835959
NC_024345.1	7425000	700	0.825367
NC_024345.1	7500000	534	0.579871
NC_024345.1	7575000	252	1.02227
NC_024345.1	7650000	370	2.05457
NC_024345.1	7725000	537	1.97325
NC_024345.1	7800000	477	2.14029
NC_024345.1	7875000	332	1.84061
NC_024345.1	7950000	519	2.1288
NC_024345.1	8025000	588	1.61433
NC_024345.1	8100000	410	2.03195
NC_024345.1	8175000	361	1.2243
NC_024345.1	8250000	411	1.00358
NC_024345.1	8325000	358	0.298499
NC_024345.1	8400000	484	1.26665
NC_024345.1	8475000	583	1.97066
NC_024345.1	8550000	536	2.20344
NC_024345.1	8625000	343	0.401033
NC_024345.1	8700000	555	1.1126
NC_024345.1	8775000	631	2.00335
NC_024345.1	8850000	767	2.68616
NC_024345.1	8925000	629	2.7293
NC_024345.1	9000000	654	2.61331
NC_024345.1	9075000	333	1.30509
NC_024345.1	9150000	403	0.931791
NC_024345.1	9225000	806	1.75248
NC_024345.1	9300000	395	1.54122
NC_024345.1	9375000	418	1.50831
NC_024345.1	9450000	278	-0.386981
NC_024345.1	9525000	398	-0.55885
NC_024345.1	9600000	406	0.189989
NC_024345.1	9675000	732	0.723809
NC_024345.1	9750000	683	0.63562
NC_024345.1	9825000	472	0.24308
NC_024345.1	9900000	328	-0.415573
NC_024345.1	9975000	125	0.273761
